                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.70674,                 4.7487,                0.60089,                0.49507,                0.88142,                0.99395,                0.95455,                0.98405,                 0.8133,                0.30687,                0.18182,                0.11273,                0.02364,                0.71433,                 6.6777,                0.59436,                 0.7264,                0.89533,               0.001637,               0.001637,               0.001637
                     58,                0.72082,                 5.1248,                0.59149,                0.51509,                0.87311,                      1,                0.97509,                0.99372,                0.78696,                0.04727,                0.04545,                0.00431,                0.00043,                0.81128,                 6.9787,                0.59412,                 1.1466,                0.94315,              0.0016304,              0.0016304,              0.0016304
                     59,                0.77991,                 5.1335,                0.61261,                0.50144,                0.89871,                0.91064,                0.97727,                 0.9854,                 0.7567,                0.16953,                0.13636,                0.03091,                0.00513,                0.84941,                 6.2545,                0.59579,                0.87254,                0.94693,              0.0016238,              0.0016238,              0.0016238
                     60,                0.75183,                 4.6239,                0.58288,                0.52193,                0.88584,                0.89774,                      1,                0.98378,                0.75972,                0.31204,                   0.25,                0.08702,                0.02117,                0.84523,                 6.5148,                0.59495,                  1.409,                0.95249,              0.0016172,              0.0016172,              0.0016172
                     61,                0.72621,                 5.0782,                0.58531,                0.49551,                0.90354,                0.78407,                   0.75,                0.84537,                0.69544,                0.26051,                0.22727,                0.08937,                0.02552,                0.77758,                 5.7103,                0.59261,                 2.4893,                 0.9487,              0.0016106,              0.0016106,              0.0016106
                     62,                0.71189,                 4.7937,                0.60855,                0.47153,                0.89857,                0.53013,                0.82059,                0.76655,                0.62451,                0.27768,                0.34091,                 0.2016,                  0.067,                0.72282,                 5.8848,                0.59337,                 3.2404,                0.89507,               0.001604,               0.001604,               0.001604
                     63,                0.75607,                  4.972,                0.61075,                0.50494,                 0.8946,                0.85748,                      1,                0.97922,                0.78814,                0.25088,                   0.25,                0.10371,                0.02461,                0.70497,                 6.0753,                0.59586,                 1.5114,                0.87482,              0.0015974,              0.0015974,              0.0015974
                     64,                0.69417,                 4.6494,                0.59594,                0.46502,                0.87956,                0.97254,                      1,                  0.995,                0.82048,                0.29865,                0.22727,                0.07426,                0.01511,                0.72148,                 6.1505,                0.59191,                 1.2635,                0.89053,              0.0015908,              0.0015908,              0.0015908
                     65,                0.71821,                 4.6994,                0.59872,                0.48355,                0.86495,                0.97507,                      1,                  0.995,                0.80153,                0.12457,                0.11364,                0.01997,                0.00362,                0.74662,                 6.3857,                0.59068,                 1.2507,                0.90835,              0.0015842,              0.0015842,              0.0015842
                     66,                0.70202,                 4.6682,                0.60163,                0.46612,                0.88887,                0.93242,                      1,                0.96607,                0.78805,                0.28939,                0.27273,                 0.1249,                0.05025,                0.75104,                  5.662,                0.58682,                  1.092,                0.89443,              0.0015776,              0.0015776,              0.0015776
                     67,                0.72713,                 4.3847,                0.58691,                0.47095,                0.88205,                0.97755,                0.98957,                0.99456,                0.81983,                0.23354,                0.20455,                0.09216,                0.01591,                  0.689,                 5.6051,                0.58934,                 1.0201,                0.89256,               0.001571,               0.001571,               0.001571
                     68,                 0.6711,                 4.7457,                 0.5732,                0.45594,                0.87196,                0.95222,                0.90594,                 0.9814,                0.78695,                0.26366,                0.20455,                0.06931,                0.01212,                0.78903,                 5.4417,                0.58607,                 1.1747,                0.93341,              0.0015644,              0.0015644,              0.0015644
                     69,                0.71533,                  4.283,                 0.5907,                0.45941,                0.90443,                0.93574,                      1,                0.98958,                 0.8171,                0.17076,                0.13636,                0.03552,                0.00908,                0.68321,                 5.8025,                0.58491,                0.86003,                 0.9061,              0.0015578,              0.0015578,              0.0015578
                     70,                0.64973,                 4.1871,                0.59954,                 0.4447,                0.88177,                0.99133,                      1,                  0.995,                 0.8178,                0.42743,                0.43182,                0.28509,                0.04903,                   0.71,                 4.8205,                0.58548,                0.79647,                0.89152,              0.0015512,              0.0015512,              0.0015512
                     71,                0.65413,                 4.6552,                0.61053,                0.43485,                0.86684,                 0.9896,                      1,                  0.995,                0.81592,                 0.1125,                0.11364,                0.04807,                0.00764,                0.71923,                 5.8649,                0.58604,                 0.6383,                0.90333,              0.0015446,              0.0015446,              0.0015446
                     72,                0.70403,                 4.3875,                0.58107,                0.45981,                0.87523,                0.99767,                      1,                  0.995,                0.82553,                 0.2043,                0.20455,                0.07745,                0.01234,                0.72681,                 5.4048,                0.58375,                0.59534,                0.90156,               0.001538,               0.001538,               0.001538
                     73,                0.67316,                 4.3316,                0.56901,                0.44132,                0.89302,                0.99477,                      1,                  0.995,                0.82027,                0.13588,                0.13636,                0.02273,                0.00418,                0.70069,                 5.5274,                0.58269,                0.58669,                0.89696,              0.0015314,              0.0015314,              0.0015314
                     74,                0.63993,                 4.0237,                0.59219,                0.44287,                0.86896,                0.99619,                      1,                  0.995,                0.83227,                0.18258,                0.18182,                0.05808,                0.01685,                0.69816,                 5.2935,                0.58423,                0.62493,                0.88278,              0.0015248,              0.0015248,              0.0015248
                     75,                0.61491,                 4.0526,                0.58763,                 0.4232,                0.86934,                0.99612,                      1,                  0.995,                0.84031,                0.33964,                0.34091,                0.20705,                0.04075,                0.67585,                 5.2508,                0.58692,                0.67606,                0.88714,              0.0015182,              0.0015182,              0.0015182
                     76,                0.67604,                 4.0748,                0.59761,                 0.4528,                0.87985,                0.99713,                      1,                  0.995,                0.80085,                0.38767,                0.38636,                 0.2382,                0.06531,                0.73018,                 5.2481,                0.58661,                0.74318,                0.90616,              0.0015116,              0.0015116,              0.0015116
                     77,                0.67695,                 4.1581,                0.58929,                0.45051,                  0.878,                0.67853,                0.97727,                0.93656,                0.79055,                0.48567,                0.53662,                0.43155,                0.10277,                0.69047,                 4.7975,                0.58604,                 1.3508,                0.89362,               0.001505,               0.001505,               0.001505
                     78,                0.68666,                 4.2765,                0.59064,                 0.4448,                0.86579,                 0.6197,                0.95455,                 0.9496,                0.78751,                0.61723,                0.52273,                0.49892,                0.12018,                0.69688,                 4.8533,                0.58355,                 1.7168,                0.90153,              0.0014984,              0.0014984,              0.0014984
                     79,                0.67109,                 3.9557,                0.58679,                0.45772,                0.86395,                0.98627,                0.97727,                0.99372,                0.82678,                0.48088,                0.47727,                0.38295,                0.08692,                 0.6682,                  4.842,                0.58066,                 1.3404,                 0.8919,              0.0014918,              0.0014918,              0.0014918
