                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.63111,                 2.7707,                0.52224,                0.40541,                0.86319,                 0.9992,                0.92683,                0.94025,                0.81643,                0.91374,                0.84756,                0.82259,                 0.3959,                0.61067,                  2.548,                0.55453,                0.42436,                0.82637,              0.0015314,              0.0015314,              0.0015314
                     74,                0.62419,                 2.7556,                0.52513,                0.40488,                0.86465,                      1,                0.93672,                0.94273,                0.82824,                0.93655,                0.86585,                0.86697,                0.44041,                0.56697,                 2.3699,                0.54678,                0.39053,                0.81556,              0.0015248,              0.0015248,              0.0015248
                     75,                 0.6236,                 2.7308,                0.50431,                0.39022,                0.86113,                0.99921,                0.93293,                0.93842,                0.82348,                0.92735,                0.85976,                0.83372,                0.41418,                0.56457,                 2.4402,                0.53776,                0.39985,                0.82021,              0.0015182,              0.0015182,              0.0015182
                     76,                0.60048,                  2.715,                0.51834,                 0.3896,                0.86245,                0.99915,                0.92683,                0.93921,                 0.8167,                0.89425,                0.82504,                0.82329,                0.39182,                0.58171,                 2.5959,                0.53565,                0.37111,                0.81584,              0.0015116,              0.0015116,              0.0015116
                     77,                 0.6335,                 2.8397,                0.52275,                0.40996,                 0.8676,                      1,                 0.9315,                 0.9388,                0.81125,                0.94435,                0.87195,                0.87265,                0.41707,                0.60314,                 2.4089,                0.53815,                0.38994,                0.81733,               0.001505,               0.001505,               0.001505
                     78,                0.59584,                 2.6392,                0.50945,                 0.3847,                0.85448,                0.99354,                0.93781,                0.94486,                0.81892,                0.92028,                0.85366,                0.86263,                0.43444,                0.59836,                 2.4809,                0.52924,                0.38777,                0.82704,              0.0014984,              0.0014984,              0.0014984
                     79,                0.61422,                 2.6724,                0.49401,                0.37842,                0.85017,                0.99948,                0.92073,                0.94251,                 0.8107,                0.93895,                0.85976,                0.84649,                 0.4322,                0.60483,                 2.4379,                0.53686,                0.39096,                0.82953,              0.0014918,              0.0014918,              0.0014918
                     80,                0.60731,                 2.6843,                0.51666,                0.39287,                0.86201,                      1,                0.91776,                0.94399,                0.81364,                 0.9401,                0.86123,                0.87253,                0.45782,                0.60528,                 2.4625,                0.51414,                 0.3851,                0.82898,              0.0014852,              0.0014852,              0.0014852
                     81,                0.61004,                 2.6326,                0.49131,                0.38463,                0.85939,                      1,                0.93233,                0.94066,                0.81542,                0.92689,                0.85976,                0.85295,                0.43378,                0.61203,                 2.4574,                0.52828,                0.38465,                0.82409,              0.0014786,              0.0014786,              0.0014786
                     82,                 0.5897,                 2.7062,                0.48883,                0.37068,                0.86421,                0.99872,                0.92073,                0.94517,                0.82605,                0.92726,                0.85366,                0.84914,                0.42181,                0.57868,                 2.4177,                0.51604,                0.36923,                0.81954,               0.001472,               0.001472,               0.001472
